"state_code","county","state_id"
"ND","Sheridan","29"
"AK","Lake and Peninsula","1"
"MS","Issaquena","26"
"MT","Carter","27"
"SD","Hyde","42"
"SD","Harding","42"
"SD","Sully","42"
"TX","Foard","44"
"CO","Jackson","6"
"TX","Motley","44"
"MT","Prairie","27"
"TX","Sterling","44"
"NE","Sioux","30"
"KS","Greeley","17"
"MT","Wibaux","27"
"AK","Skagway","1"
"ID","Camas","14"
"CA","Alpine","5"
"MT","Garfield","27"
"NV","Esmeralda","34"
"NE","Logan","30"
"ND","Billings","29"
"ID","Clark","14"
"TX","Terrell","44"
"NE","Hayes","30"
"AK","Bristol Bay","1"
"CO","Hinsdale","6"
"CO","Mineral","6"
"TX","Roberts","44"
"SD","Jones","42"
"NE","Wheeler","30"
"TX","McMullen","44"
"NE","Keya Paha","30"
"ND","Slope","29"
"MT","Golden Valley","27"
"NE","Grant","30"
"NE","Banner","30"
"NE","Hooker","30"
"MT","Treasure","27"
"AK","Yakutat","1"
"TX","Kent","44"
"NE","Thomas","30"
"TX","Borden","44"
"UT","Daggett","45"
"NE","Loup","30"
"CO","San Juan","6"
"TX","Kenedy","44"
"NE","Blaine","30"
"MT","Petroleum","27"
"NM","Harding","33"
"NE","Arthur","30"
"NE","McPherson","30"
"TX","King","44"
"TX","Loving","44"
"HI","Kalawao","12"
